date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:13:52	219/219	---MCZ	200	added ('OK')	text/plain	etag:W/%2263e8a02f-154%22	https://www.classcentral.com/robots.txt		(from )
21:13:54	664311/664311	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Feb%202023%2016:13:52%20GMT	https://www.classcentral.com/	C:/Users/azb/Desktop/JObs/Coding%20all%20Stars/DevTask/ClassCentral/www.classcentral.com/index.html	(from )
21:13:55	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2012%20Feb%202023%2016:13:54%20GMT	http://schema.org/WebSite	C:/Users/azb/Desktop/JObs/Coding%20all%20Stars/DevTask/ClassCentral/schema.org/WebSite.0.delayed	(from https://www.classcentral.com/)
21:13:56	179772/179772	---M-Z	200	added ('OK')	text/html	etag:%22HE3AwQ%22	https://schema.org/WebSite	C:/Users/azb/Desktop/JObs/Coding%20all%20Stars/DevTask/ClassCentral/schema.org/WebSite.html	(from https://www.classcentral.com/)
21:13:57	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2012%20Feb%202023%2016:13:56%20GMT	http://twitter.com/classcentral	C:/Users/azb/Desktop/JObs/Coding%20all%20Stars/DevTask/ClassCentral/twitter.com/classcentral.3.delayed	(from https://www.classcentral.com/)
21:13:57	9463/9463	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Feb%202023%2022:40:04%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fmeta%2Fmeta-default.png?auto=format&ixlib=php-3.3.1&s=abde49e12c23a50309f7d91754b25193	C:/Users/azb/Desktop/JObs/Coding%20all%20Stars/DevTask/ClassCentral/ccweb.imgix.net/https_/www.classcentral.com/images/meta/meta-default6dba.png	(from https://www.classcentral.com/)
21:13:59	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2012%20Feb%202023%2016:13:58%20GMT	http://www.linkedin.com/company/class-central	C:/Users/azb/Desktop/JObs/Coding%20all%20Stars/DevTask/ClassCentral/www.linkedin.com/company/class-central.5.delayed	(from https://www.classcentral.com/)
21:13:59	174962/174962	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Feb%202023%2016:13:57%20GMT	https://twitter.com/classcentral	C:/Users/azb/Desktop/JObs/Coding%20all%20Stars/DevTask/ClassCentral/twitter.com/classcentral.html	(from https://www.classcentral.com/)
21:14:01	1530/1530	---M--	999	error ('Request%20denied')	text/html	date:Sun,%2012%20Feb%202023%2016:13:59%20GMT	https://www.linkedin.com/company/class-central	C:/Users/azb/Desktop/JObs/Coding%20all%20Stars/DevTask/ClassCentral/www.linkedin.com/company/class-central.6.delayed	(from https://www.classcentral.com/)
21:14:02	134886/134886	---MCZ	200	added ('OK')	text/html	etag:W/%2261e25e282e9f30d7650ee1bcfb7e6410%22	https://github.com/classcentral	C:/Users/azb/Desktop/JObs/Coding%20all%20Stars/DevTask/ClassCentral/github.com/classcentral.html	(from https://www.classcentral.com/)
